Company,Flight,From,To,Status,Scheduled_Departure_Hour_CST,Real_Departure_Hour_CST,Flight_Departure_Times
,,,,,,,
Cargolux,CV 8592,Mexico City,Luxembourg,Arrived,21:30,01:27,18-Jan-2021
,,,,,,,
Aeromexico,AM 21,Mexico City,Madrid,Arrived,22:55,23:19,18-Jan-2021
,,,,,,,
Air Europa,UX 2452,Mexico City,Madrid,Arrived,22:55,23:19,18-Jan-2021
,,,,,,,
El Al,LY 8204,Mexico City,Madrid,Arrived,22:55,23:19,18-Jan-2021
,,,,,,,
Aeromexico,AM 654,Mexico City,Santo Domingo,Arrived,23:55,23:52,18-Jan-2021
,,,,,,,
ANA,NH 179,Mexico City,Tokyo,Arrived,01:00,00:49,19-Jan-2021
,,,,,,,
Aeromexico,AM 3302,Mexico City,Atlanta,Arrived,01:20,01:19,19-Jan-2021
,,,,,,,
Korean Air,KE 7606,Mexico City,Atlanta,Arrived,01:20,01:19,19-Jan-2021
,,,,,,,
Air Canada,AC 994,Mexico City,Toronto,Arrived,01:20,01:20,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 6928,Mexico City,Toronto,Arrived,01:20,01:20,19-Jan-2021
,,,,,,,
Delta Air Lines,DL 590,Mexico City,Atlanta,Arrived,01:20,01:19,19-Jan-2021
,,,,,,,
AeroUnion,6R 270,Mexico City,Merida,Arrived,01:30,03:14,19-Jan-2021
,,,,,,,
Aeromexico,AM 7968,Mexico City,Panama City,Arrived,01:35,01:31,19-Jan-2021
,,,,,,,
Copa Airlines,CM 149,Mexico City,Panama City,Arrived,01:35,01:31,19-Jan-2021
,,,,,,,
Masair,MY 6814,Mexico City,Los Angeles,Arrived,01:50,02:16,19-Jan-2021
,,,,,,,
SA AVIANCA,AV 45,Mexico City,Bogota,Arrived,05:00,04:51,19-Jan-2021
,,,,,,,
Aeromexico,AM 8222,Mexico City,Bogota,Arrived,05:00,04:51,19-Jan-2021
,,,,,,,
Volaris,Y4 760,Mexico City,Hermosillo,Arrived,05:15,05:04,19-Jan-2021
,,,,,,,
Volaris,Y4 792,Mexico City,Culiacan,Arrived,05:30,05:17,19-Jan-2021
,,,,,,,
Volaris,Y4 206,Mexico City,Cancun,Cancelled,05:32,05:32,19-Jan-2021
,,,,,,,
Frontier Airlines,F9 6206,Mexico City,Cancun,Cancelled,05:32,05:32,19-Jan-2021
,,,,,,,
United Airlines,UA 1085,Mexico City,Houston,Arrived,05:40,05:29,19-Jan-2021
,,,,,,,
Air New Zealand,NZ 9947,Mexico City,Houston,Arrived,05:40,05:29,19-Jan-2021
,,,,,,,
Estafeta,E7* 615,Mexico City,Villahermosa,Arrived,05:40,06:47,19-Jan-2021
,,,,,,,
Volaris,Y4 736,Mexico City,Guadalajara,Arrived,05:40,05:35,19-Jan-2021
,,,,,,,
Volaris,Y4 724,Mexico City,Chihuahua,Arrived,05:40,05:38,19-Jan-2021
,,,,,,,
United Airlines,UA 820,Mexico City,San Francisco,Arrived,05:50,05:49,19-Jan-2021
,,,,,,,
Air Canada,AC 5403,Mexico City,San Francisco,Arrived,05:50,05:49,19-Jan-2021
,,,,,,,
Air New Zealand,NZ 9820,Mexico City,San Francisco,Arrived,05:50,05:49,19-Jan-2021
,,,,,,,
Volaris,Y4 835,Mexico City,Tijuana,Arrived,05:50,05:46,19-Jan-2021
,,,,,,,
Volaris,Y4 201,Mexico City,Merida,Cancelled,06:00,06:00,19-Jan-2021
,,,,,,,
Volaris,Y4 136,Mexico City,Villahermosa,Arrived,06:00,05:49,19-Jan-2021
,,,,,,,
